Timestamp,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
16/09/2017 00:00,3699.89,3772.52,3687.48,3725.48,622.79,2325676.83,3734.26
16/09/2017 01:00,3746.69,3776,3719.29,3774.09,428.21,1608630.42,3756.62
16/09/2017 02:00,3760.4,3809.97,3716.45,3743.34,807,3039870.73,3766.88
16/09/2017 03:00,3743.33,3772.52,3727.01,3759.48,263.46,988886.23,3753.46
16/09/2017 04:00,3765.08,3797.72,3753,3774,364.62,1376586.36,3775.37
16/09/2017 05:00,3780,3872.9,3772.37,3833.96,1034.37,3969731.3,3837.82
16/09/2017 06:00,3833.96,3833.96,3735.17,3792.91,903.34,3411904.15,3776.99
16/09/2017 07:00,3788,3833.96,3772.1,3820.48,782.51,2980167.08,3808.47
16/09/2017 08:00,3820.48,3845,3806.35,3842.98,530.66,2032948.37,3830.96
16/09/2017 09:00,3842.98,3842.99,3643.28,3672.15,2231.4,8339705.46,3737.44
16/09/2017 10:00,3679.47,3685,3541.84,3557.29,3499.34,12600117.93,3600.72
16/09/2017 11:00,3565,3687,3560.01,3674.98,1716.59,6233709.9,3631.44
16/09/2017 12:00,3666,3675,3550.46,3553.89,1335.15,4796488.17,3592.48
16/09/2017 13:00,3553.89,3641.98,3502.5,3611.78,1635.42,5829765.93,3564.69
16/09/2017 14:00,3611.78,3659,3559.92,3570,556.53,2011621.37,3614.57
16/09/2017 15:00,3579.86,3646.48,3500,3550,1392.26,4959926.48,3562.51
16/09/2017 16:00,3538.6,3620.5,3538.6,3604.99,1501.12,5376080.28,3581.38
16/09/2017 17:00,3605.98,3625.32,3569.23,3625.32,580.7,2089516.11,3598.3
16/09/2017 18:00,3625.32,3712.52,3604.63,3693.17,1011.26,3712001.71,3670.66
16/09/2017 19:00,3695.82,3716,3637.47,3692.97,525.1,1932860.71,3680.95
16/09/2017 20:00,3697.26,3697.69,3655.97,3661.71,220.45,810277.71,3675.52
16/09/2017 21:00,3659.57,3697.45,3625.32,3692.19,391.52,1433045.45,3660.19
16/09/2017 22:00,3683.58,3727,3670.87,3700.79,536.12,1984768.4,3702.08
16/09/2017 23:00,3700.94,3708.3,3668.93,3678.93,288.3,1061627.66,3682.31
17/09/2017 00:00,3669.07,3676.27,3626.03,3640,535.01,1953546.15,3651.41
17/09/2017 01:00,3640,3640,3589.43,3620.72,691.1,2494513.37,3609.48
17/09/2017 02:00,3623.45,3661.57,3591,3648.62,369.42,1343961,3638.07
17/09/2017 03:00,3648.64,3650.99,3607.26,3637.5,234.31,850533.96,3629.94
17/09/2017 04:00,3637.55,3637.55,3570,3609.73,284.42,1022841.52,3596.18
17/09/2017 05:00,3609.99,3620,3561,3579.12,106.51,382170.65,3588.11
17/09/2017 06:00,3568.18,3589.86,3529,3547.94,575.33,2047915.84,3559.53
17/09/2017 07:00,3543.16,3582,3509.71,3509.71,743.24,2632774.66,3542.31
17/09/2017 08:00,3508.7,3534.66,3463,3531.82,1066.35,3731221.98,3499.07
17/09/2017 09:00,3531.84,3618.58,3516.94,3593.18,644.74,2300579.57,3568.25
17/09/2017 10:00,3593.18,3623.63,3566.64,3575.33,395.15,1424573.96,3605.1
17/09/2017 11:00,3575.34,3589.42,3532.01,3567.8,441.5,1569699.55,3555.35
17/09/2017 12:00,3567.77,3589.43,3554,3583,174.85,625962.97,3580.08
17/09/2017 13:00,3583,3661.57,3564.97,3642.7,754.85,2734309.3,3622.3
17/09/2017 14:00,3654.39,3690.56,3599.5,3643.15,860.98,3132391.79,3638.17
17/09/2017 15:00,3643.15,3683.89,3632.26,3664.68,503.29,1839475.63,3654.91
17/09/2017 16:00,3664.68,3735.17,3647.58,3719.49,803.75,2977172.59,3704.11
17/09/2017 17:00,3719.49,3772.52,3702.13,3756.9,549.8,2058653.37,3744.34
17/09/2017 18:00,3757,3772,3680.63,3706.14,461.74,1716758.17,3718
17/09/2017 19:00,3706.02,3735.17,3703.31,3704.76,333.64,1240030.9,3716.63
17/09/2017 20:00,3711.95,3744.58,3684.88,3688.61,394.54,1466794.67,3717.76
17/09/2017 21:00,3699.73,3713.03,3666.06,3695.95,299.04,1103016.25,3688.49
17/09/2017 22:00,3695.77,3720,3675.33,3699.54,147.74,546919.86,3702
17/09/2017 23:00,3699.54,3701.44,3646.39,3662.99,398.91,1461958.84,3664.87
18/09/2017 00:00,3662.95,3750.77,3659.42,3736,351.92,1310312.2,3723.31
18/09/2017 01:00,3737.61,3764,3717.14,3764,559.45,2101403.6,3756.18
